number,value,datetime_start,datetime_complete,duration,params_dropout,params_learning_rate,state
0,0.75,2021-06-22 16:11:41.950212,2021-06-22 16:12:30.804600,0 days 00:00:48.854388,0.3982507372192874,0.0029344827480777633,COMPLETE
1,0.15625,2021-06-22 16:12:30.933171,2021-06-22 16:13:16.403883,0 days 00:00:45.470712,0.1772054569107748,0.008135406883184544,COMPLETE
2,0.03750000149011612,2021-06-22 16:13:16.531356,2021-06-22 16:14:05.364573,0 days 00:00:48.833217,0.26085601077076315,0.0013032924046951031,COMPLETE
3,0.03750000149011612,2021-06-22 16:14:05.486095,2021-06-22 16:14:49.645503,0 days 00:00:44.159408,0.7032295577087273,0.011901125816690976,COMPLETE
4,0.15625,2021-06-22 16:14:49.776448,2021-06-22 16:15:33.942775,0 days 00:00:44.166327,0.036763958668186936,0.029203436877226454,COMPLETE
5,0.15625,2021-06-22 16:15:34.078186,2021-06-22 16:16:26.940748,0 days 00:00:52.862562,0.1254312052824454,0.028213787137658475,COMPLETE
6,0.75,2021-06-22 16:16:27.073677,2021-06-22 16:17:16.304848,0 days 00:00:49.231171,0.2847248547109309,0.008413110996558152,COMPLETE
7,0.625,2021-06-22 16:17:16.448687,2021-06-22 16:18:04.927761,0 days 00:00:48.479074,0.43640499817260436,2.5553107777997126e-05,COMPLETE
8,0.512499988079071,2021-06-22 16:18:05.077057,2021-06-22 16:18:53.788297,0 days 00:00:48.711240,0.19388604639791185,5.778176643358698e-06,COMPLETE
9,0.15625,2021-06-22 16:18:53.926186,2021-06-22 16:19:40.728983,0 days 00:00:46.802797,0.07165398372774862,0.1650189752654709,COMPLETE
